Time,Set Temperature,Ventilation Temperature,Supply Air Temperature,Supply Fan,Valve Position,Heating Supply Temperature 1,Heating Supply Temperature 2,Total Heating Pump,Heating Pump 1,Heating Pump 2,Backup Heating Pump,Labeling,
2024-01-23 08,25,19.16,42.9,1,99.98,45.97,49.95,1.5,0,0.5,1,Sensor fault,
2024-01-23 09,25,19.99,45.28,1,99.98,50.94,49.75,2,0,1,1,Sensor fault,
2024-01-23 10,25,20.65,45.54,1,99.98,51,49.76,2,0,1,1,Sensor fault,
2024-01-23 11,25,21.03,45.63,1,99.98,50.91,49.82,2,0,1,1,Sensor fault,
2024-01-23 12,25,21.11,45.16,1,99.98,52.94,49.76,1.5,0,0.5,1,Sensor fault,
2024-01-23 13,25,21.07,44.83,1,99.98,54.84,49.97,1,0,0,1,Sensor fault,
2024-01-23 14,25,21.01,45.01,1,99.98,53.19,49.93,1,0,0,1,Sensor fault,
2024-01-23 15,25,20.77,45.19,1,99.98,51.7,49.88,1.5,0,0.5,1,Sensor fault,
2024-01-23 16,25,21.33,45.15,1,99.98,50.54,49.46,2,0,1,1,Sensor fault,
2024-01-23 17,25,21.53,45.17,0.75,99.98,50.38,49.5,1.8,0,0.8,1,Sensor fault,
2024-01-23 18,25,20.73,43.44,0,99.98,50.18,49.29,1.75,0,0.75,1,Fan fault,
2024-01-23 19,25,18.56,35.99,0,21.2,51.4,46.41,1,0,0,1,Fan fault,
2024-01-24 06,25,12.64,26.24,0.4,32.48,44.99,45.9,2,0,1,1,Sensor fault,
2024-01-24 07,25,19.25,46.6,1,94.63,53.96,53.25,2,0,1,1,Sensor fault,
2024-01-24 08,25,20.55,45.51,1,99.98,50.35,49.36,2,0,1,1,Sensor fault,
2024-01-24 09,25,20.44,45.5,1,99.98,50.72,49.64,2,0,1,1,Sensor fault,
2024-01-24 10,25,20.97,45.67,1,99.98,50.86,49.73,2,0,1,1,Sensor fault,
2024-01-24 11,25,21.43,45.75,1,99.98,50.84,49.75,2,0,1,1,Sensor fault,
2024-01-24 12,25,21.84,45.86,1,99.98,50.84,49.66,2,0,1,1,Sensor fault,
2024-01-24 17,25,20.85,36.59,1,62.71,41.44,40.11,2,0,1,1,Sensor fault,
2024-01-24 18,25,19.85,34.81,1,62.71,40.42,39.76,2,0,1,1,Sensor fault,
2024-01-24 19,25,19.59,33.54,0.75,62.7,38,36.68,2,0,1,1,Sensor fault,
2024-01-25 07,25,14.44,32.26,0.5,61.37,49.57,43.76,1.3,0,0.5,0.8,Sensor fault,
2024-01-25 08,24,19.27,38.89,1,73.37,58.84,45.46,1,0,0,1,Sensor fault,
2024-01-25 09,24,19.43,37.43,1,62.73,52.42,44.85,1,0,0,1,Sensor fault,
2024-01-25 10,24,19.86,37.69,1,62.73,49.87,44.82,1,0,0,1,Sensor fault,
2024-01-25 11,24,19.97,37.71,1,62.73,48.34,44.95,1,0,0,1,Sensor fault,
2024-01-25 12,24,20.13,37.93,1,62.73,47.32,44.82,1,0,0,1,Sensor fault,
2024-01-25 13,24,20.3,38.04,1,62.73,46.58,44.99,1,0,0,1,Sensor fault,
2024-01-25 14,24,20.69,38.18,1,62.73,46.03,44.9,1,0,0,1,Sensor fault,
2024-01-25 15,24,20.87,37.33,1,62.73,45.53,42.56,1,0,0,1,Sensor fault,
2024-01-25 16,24,18.68,30.56,1,62.73,43.26,34.66,1,0,0,1,Sensor fault,
2024-01-25 17,24,18.55,30.42,1,62.73,39.83,34.88,1,0,0,1,Sensor fault,
2024-01-25 18,24,18.98,30.8,1,62.73,38.18,34.76,1,0,0,1,Sensor fault,
2024-01-25 19,24,18.97,30.35,0.75,62.73,37.24,33.66,1,0,0,1,Sensor fault,
2024-01-26 07,24,13.06,24.07,0.5,32.55,30.28,38.58,1,0,0,1,Sensor fault,
2024-01-26 08,24,18.92,38.33,1,62.73,40.85,46.31,1.5,0,0.5,1,Sensor fault,
2024-01-26 09,24,18.91,34.2,1,62.73,40.63,39.64,2,0,1,1,Sensor fault,
2024-01-26 10,24,19.18,34.47,1,62.73,40.84,39.75,2,0,1,1,Sensor fault,
2024-01-26 11,24,18.43,34.28,1,62.73,40.74,39.69,2,0,1,1,Sensor fault,
